n,delta,kappa,cp_gap,risk_gap,nc,cp_ols,cp_ridge,risk_ols,risk_ridge
50.0,0.0,14.491831612511415,1.9395387089832212,0.7192873912006355,12.0,7.780058246618374,5.840519537635153,4.499290539078122,3.7800031478774865
50.0,0.0,0.8639714109679963,-0.0978543647776533,-0.12987132739156548,12.0,3.890774949911105,3.988629314688758,1.830992295268908,1.9608636226604734
50.0,1.0,1.3668895606102485,-0.14549041105431382,0.7651880511302256,12.0,3.617002515325158,3.7624929263794717,5.832176934104226,5.066988882974001
50.0,0.0,2.0342158644306148,-0.36049776411581647,-0.1316271882426956,12.0,5.752298616008872,6.1127963801246885,2.993359780162997,3.124986968405693
50.0,0.0,8.48603679870013,0.8801832698760643,0.13769393552006415,12.0,4.337073784205682,3.4568905143296176,2.403400454263672,2.265706518743608
50.0,1.0,7.674256565133271,-1.0370501627836721,0.4625222641301836,12.0,3.258155702384029,4.295205865167701,2.2149531830618403,1.7524309189316567
50.0,0.0,10.779006211760159,1.7194200952572825,0.9150685510360188,12.0,6.031049104342685,4.311629009085403,3.9564965055125434,3.0414279544765246
50.0,1.0,1.4632038984713396,-0.3220730860088503,1.6954246179754509,12.0,4.888626786636135,5.210699872644986,4.223246119702961,2.52782150172751
50.0,0.0,0.04941579402394728,0.011834850509991668,0.7655833010703019,12.0,4.558814734260915,4.546979883750923,3.32516257941211,2.559579278341808
50.0,0.0,1.1321298730684985,0.17150918886765076,0.9993376793693232,12.0,7.234794219520258,7.063285030652607,4.65218029381936,3.652842614450037
50.0,0.0,4.905511527899184,1.0137782378848739,2.3236796715992853,12.0,6.210541243363005,5.1967630054781315,5.261407316007112,2.937727644407827
50.0,0.0,3.9239108870116732,0.8964452926153132,0.042062934769359295,12.0,6.082072490321985,5.185627197706672,1.6330243112283946,1.5909613764590353
50.0,1.0,8.469270591417127,-1.6059974315012084,0.07785190386023544,12.0,3.742835166851342,5.34883259835255,3.002123542854651,2.9242716389944157
50.0,1.0,4.197491835867754,0.7103208450427818,-0.8228950120227059,12.0,3.0249364920201423,2.3146156469773604,3.730691090314472,4.553586102337178
50.0,1.0,6.295533243381598,-1.133087524117308,0.15686065719588593,12.0,3.962043523499766,5.095131047617074,2.074969920985516,1.9181092637896302
50.0,0.0,4.042168269993327,0.40292929401534483,0.25489690646611773,12.0,4.166326295731973,3.763397001716628,4.379307261129854,4.124410354663736
50.0,1.0,7.197348459610469,2.191060509824073,-0.16642593813711226,12.0,6.597579265341053,4.40651875551698,1.117580907423881,1.2840068455609932
50.0,0.0,4.3925747662016414,0.9223987148988222,0.6621472412804552,12.0,5.733513971736171,4.811115256837349,3.807229469140974,3.145082227860519
50.0,0.0,4.876285372650429,0.8627765840991781,0.1710183190725485,12.0,5.935801424388528,5.07302484028935,2.4402584738199065,2.269240154747358
50.0,0.0,5.799153103045993,1.2741549021446188,1.0578102111761356,12.0,8.14878004215748,6.874625140012861,3.935298975192012,2.8774887640158764
50.0,1.0,2.2265158527428617,-0.3574212739498961,0.5871187183670359,12.0,4.758646326482931,5.116067600432827,4.089229389754087,3.5021106713870513
50.0,0.0,7.707448396054728,-0.7778832185607776,-0.15774890603769443,12.0,6.22029571636674,6.998178934927518,4.602816622543041,4.760565528580735
50.0,0.0,1.798364492206291,0.250096823490491,2.172146695403309,12.0,5.674743568012854,5.424646744522363,6.811339441920439,4.63919274651713
50.0,0.0,6.295611272309636,2.1584785762623167,0.07212398224831285,12.0,7.371281277646467,5.212802701384151,1.7174122534806775,1.6452882712323647
50.0,0.0,14.17205391595757,2.306430318252202,1.0725552125872175,12.0,8.469259686630563,6.162829368378361,5.498036513903809,4.425481301316592
50.0,0.0,2.275642947576137,0.6197456341415979,0.1527281242372669,12.0,8.540461214519182,7.920715580377584,3.269676666139094,3.1169485419018272
